T,GLC,ACE_env,X,ACCOA,ACP,ACE_cell
0.00E+00,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.30E-02,1.03E+00
9.58E-09,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.30E-02,1.04E+00
1.92E-08,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.29E-02,1.04E+00
3.83E-08,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.29E-02,1.04E+00
5.75E-08,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.29E-02,1.04E+00
7.67E-08,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.29E-02,1.04E+00
1.10E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
1.44E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
1.78E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
2.11E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
2.45E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
2.79E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
3.12E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
3.46E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
3.80E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
4.13E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
4.47E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
4.80E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
5.14E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
5.48E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
5.81E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
6.15E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
9.52E-07,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
1.29E-06,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
1.62E-06,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
4.99E-06,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
8.35E-06,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
3.85E-05,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.28E-02,1.04E+00
6.86E-05,1.29E+01,9.20E-01,7.00E-02,2.73E-01,6.29E-02,1.04E+00
9.87E-05,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.29E-02,1.05E+00
1.58E-04,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.29E-02,1.05E+00
2.17E-04,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.29E-02,1.05E+00
2.76E-04,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.30E-02,1.05E+00
3.36E-04,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.30E-02,1.05E+00
4.56E-04,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.30E-02,1.05E+00
5.76E-04,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.30E-02,1.05E+00
6.96E-04,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.30E-02,1.05E+00
1.19E-03,1.29E+01,9.20E-01,7.00E-02,2.74E-01,6.30E-02,1.05E+00
1.68E-03,1.29E+01,9.20E-01,7.01E-02,2.74E-01,6.30E-02,1.05E+00
6.59E-03,1.29E+01,9.21E-01,7.03E-02,2.74E-01,6.30E-02,1.05E+00
1.15E-02,1.29E+01,9.23E-01,7.05E-02,2.74E-01,6.30E-02,1.05E+00
6.06E-02,1.29E+01,9.34E-01,7.25E-02,2.75E-01,6.32E-02,1.06E+00
1.10E-01,1.28E+01,9.45E-01,7.47E-02,2.76E-01,6.35E-02,1.07E+00
2.84E-01,1.27E+01,9.88E-01,8.26E-02,2.80E-01,6.44E-02,1.12E+00
4.59E-01,1.25E+01,1.03E+00,9.15E-02,2.84E-01,6.54E-02,1.16E+00
6.34E-01,1.24E+01,1.09E+00,1.01E-01,2.89E-01,6.65E-02,1.21E+00
8.91E-01,1.21E+01,1.17E+00,1.18E-01,2.97E-01,6.83E-02,1.30E+00
1.15E+00,1.18E+01,1.27E+00,1.37E-01,3.06E-01,7.04E-02,1.39E+00
1.41E+00,1.14E+01,1.38E+00,1.59E-01,3.16E-01,7.27E-02,1.50E+00
1.66E+00,1.10E+01,1.50E+00,1.85E-01,3.28E-01,7.54E-02,1.62E+00
2.05E+00,1.03E+01,1.73E+00,2.33E-01,3.48E-01,8.01E-02,1.84E+00
2.44E+00,9.30E+00,1.99E+00,2.93E-01,3.73E-01,8.58E-02,2.10E+00
2.83E+00,8.11E+00,2.31E+00,3.70E-01,4.02E-01,9.25E-02,2.42E+00
3.22E+00,6.61E+00,2.69E+00,4.66E-01,4.37E-01,1.00E-01,2.79E+00
3.67E+00,4.46E+00,3.20E+00,6.08E-01,4.83E-01,1.11E-01,3.30E+00
4.11E+00,1.70E+00,3.80E+00,7.92E-01,5.34E-01,1.23E-01,3.89E+00
4.14E+00,1.51E+00,3.84E+00,8.05E-01,5.37E-01,1.24E-01,3.93E+00
4.17E+00,1.32E+00,3.88E+00,8.18E-01,5.40E-01,1.24E-01,3.97E+00
4.20E+00,1.12E+00,3.92E+00,8.31E-01,5.42E-01,1.25E-01,4.01E+00
4.23E+00,8.96E-01,3.97E+00,8.46E-01,5.44E-01,1.25E-01,4.05E+00
4.25E+00,7.25E-01,4.00E+00,8.58E-01,5.45E-01,1.25E-01,4.08E+00